ReactionID,Reaction,UniprotID,EC,ReactionRule
HMR_3905,-1.0 ethanol + -1.0 NAD+ --> 1.0 acetaldehyde + 1.0 H+ + 1.0 NADH,"['ADH1A_HUMAN', 'ADH1B_HUMAN', 'ADH7_HUMAN', 'ADH4_HUMAN', 'PTGR3_HUMAN', 'ADHX_HUMAN', 'HOT_HUMAN', 'ADH1G_HUMAN', 'ADH6_HUMAN']","['1.1.1.1', '1.1.1.71']",Q8IWW8 or P28332 or Q8N4Q0 or P07327 or P40394 or P00325 or P11766 or P08319 or P00326
HMR_3907,-1.0 ethanol + -1.0 NADP+ --> 1.0 acetaldehyde + 1.0 H+ + 1.0 NADPH,['AK1A1_HUMAN'],1.1.1.2,P14550
HMR_4097,-1.0 acetate + -1.0 ATP + -1.0 CoA --> 1.0 acetyl-CoA + 1.0 AMP + 1.0 PPi,['ACSA_HUMAN'],6.2.1.1,Q9NR19
HMR_4099,-1.0 acetate + -1.0 ATP + -1.0 CoA --> 1.0 acetyl-CoA + 1.0 AMP + 1.0 PPi,"['ACS2L_HUMAN', 'ACSS3_HUMAN']",6.2.1.1,Q9H6R3 or Q9NUB1
HMR_4108,-1.0 acetyl adenylate + -1.0 CoA --> 1.0 acetyl-CoA + 1.0 AMP + 1.0 H+,['ACSA_HUMAN'],6.2.1.1,Q9NR19
HMR_4133,-1.0 acetate + -1.0 ATP + -1.0 H+ --> 1.0 acetyl adenylate + 1.0 PPi,['ACSA_HUMAN'],6.2.1.1,Q9NR19
HMR_4137,-1.0 CoA + -1.0 NAD+ + -1.0 pyruvate --> 1.0 acetyl-CoA + 1.0 CO2 + 1.0 NADH,"['DLDH_HUMAN', 'ODPX_HUMAN', 'ODPAT_HUMAN', 'ODPB_HUMAN', 'ODP2_HUMAN', 'ODPA_HUMAN']","['1.2.4.1', '2.3.1.12', '1.8.1.4', '1.2.1.51']",P09622 and O00330 and P08559 and P10515 and P29803 and P11177
HMR_4281,-1.0 H+ + -1.0 NADH + -1.0 pyruvate <--> 1.0 L-lactate + 1.0 NAD+,"['UEVLD_HUMAN', 'LDH6A_HUMAN', 'LDHA_HUMAN', 'LDHC_HUMAN', 'LDH6B_HUMAN', 'LDHB_HUMAN']",1.1.1.27,P or P00338 or Q8IX04 or P07864 or Q6ZMR3 or Q9BYZ2
HMR_4388,-1.0 H+ + -1.0 NADH + -1.0 pyruvate <--> 1.0 L-lactate + 1.0 NAD+,"['UEVLD_HUMAN', 'LDH6A_HUMAN', 'LDHA_HUMAN', 'LDHC_HUMAN', 'LDH6B_HUMAN', 'LDHB_HUMAN']",1.1.1.27,P or P00338 or Q8IX04 or P07864 or Q6ZMR3 or Q9BYZ2
HMR_4283,-1.0 acetaldehyde + -1.0 H2O + -1.0 NADP+ --> 1.0 acetate + 2.0 H+ + 1.0 NADPH,"['AL1A3_HUMAN', 'AL3B1_HUMAN', 'AL3B2_HUMAN', 'AL3A1_HUMAN']",1.2.1.5,P43353 or P30838 or P48448 or P47895
